#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-08-16;Russie;920719;15653;731444;1.70;79.44;18.86
2020-08-16;Serbie;29682;674;0;2.27;0.00;97.73
2020-08-16;Roumanie;70461;2991;32587;4.24;46.25;49.51
2020-08-16;Réunion;855;5;657;0.58;76.84;22.57
2020-08-16;Qatar;115080;193;111794;0.17;97.14;2.69
2020-08-16;Paraguay;9791;138;6034;1.41;61.63;36.96
2020-08-16;Portugal;54102;1778;39697;3.29;73.37;23.34
2020-08-16;Palestine;16534;110;9838;0.67;59.50;39.83
2020-08-16;Pologne;56684;1877;39130;3.31;69.03;27.66
2020-08-16;Pakistan;289215;6175;269087;2.14;93.04;4.82
2020-08-16;Philippines;161253;2665;112586;1.65;69.82;28.53
2020-08-16;Papouasie-Nouvelle-Guinée;323;3;110;0.93;34.06;65.02
2020-08-16;Polynésie Française;166;0;64;0.00;38.55;61.45
2020-08-16;Pérou;525803;26075;365367;4.96;69.49;25.55
2020-08-16;Panama;81940;1767;55001;2.16;67.12;30.72
2020-08-16;Oman;83086;572;77680;0.69;93.49;5.82
2020-08-16;Nouvelle-Zélande;1631;22;1531;1.35;93.87;4.78
2020-08-16;Népal;26660;104;17335;0.39;65.02;34.59
2020-08-16;Norvège;10005;261;8857;2.61;88.53;8.87
2020-08-16;Pays-Bas;64468;6194;345;9.61;0.54;89.86
2020-08-16;Nicaragua;4115;128;2913;3.11;70.79;26.10
2020-08-16;Nigéria;49068;975;36497;1.99;74.38;23.63
2020-08-16;Niger;1167;69;1078;5.91;92.37;1.71
2020-08-16;Nouvelle-Calédonie;23;0;22;0.00;95.65;4.35
2020-08-16;Namibie;4154;35;2370;0.84;57.05;42.10
2020-08-16;Mozambique;2855;19;1163;0.67;40.74;58.60
2020-08-16;Malaisie;9200;125;8859;1.36;96.29;2.35
2020-08-16;Mexique;522162;56757;424298;10.87;81.26;7.87
2020-08-16;Malawi;5072;161;2626;3.17;51.77;45.05
2020-08-16;Maldives;5785;22;3349;0.38;57.89;41.73
2020-08-16;Maurice;346;10;334;2.89;96.53;0.58
2020-08-16;Malte;1306;9;749;0.69;57.35;41.96
2020-08-16;Mauritanie;6701;157;5985;2.34;89.32;8.34
2020-08-16;Martinique;336;16;98;4.76;29.17;66.07
2020-08-16;Macao;46;0;46;0.00;100.00;0.00
2020-08-16;Mongolie;298;0;276;0.00;92.62;7.38
2020-08-16;Birmanie;375;6;329;1.60;87.73;10.67
2020-08-16;Mali;2640;125;1987;4.73;75.27;20.00
2020-08-16;Macédoine;12739;544;9174;4.27;72.02;23.71
2020-08-16;Madagascar;13827;170;12424;1.23;89.85;8.92
2020-08-16;Saint Martin;109;4;49;3.67;44.95;51.38
2020-08-16;Montenegro;4035;77;2910;1.91;72.12;25.97
2020-08-16;Moldavie;30183;896;21220;2.97;70.30;26.73
2020-08-16;Monaco;146;4;114;2.74;78.08;19.18
2020-08-16;Maroc;42489;658;29344;1.55;69.06;29.39
2020-08-16;Libye;8172;153;933;1.87;11.42;86.71
2020-08-16;Lettonie;1322;32;1078;2.42;81.54;16.04
2020-08-16;Luxembourg;7458;123;6500;1.65;87.15;11.20
2020-08-16;Lituanie;2416;81;1704;3.35;70.53;26.12
2020-08-16;Lesotho;903;25;271;2.77;30.01;67.22
2020-08-16;Libéria;1257;82;788;6.52;62.69;30.79
2020-08-16;Sri Lanka;2893;11;2670;0.38;92.29;7.33
2020-08-16;Liechtenstein;91;1;87;1.10;95.60;3.30
2020-08-16;Sainte-Lucie;25;0;25;0.00;100.00;0.00
2020-08-16;Liban;8881;103;2724;1.16;30.67;68.17
2020-08-16;Laos;22;0;19;0.00;86.36;13.64
2020-08-16;Kazakhstan;103033;1269;82777;1.23;80.34;18.43
2020-08-16;Koweït;76205;501;68135;0.66;89.41;9.93
2020-08-16;Corée du Sud;15515;305;13917;1.97;89.70;8.33
2020-08-16;Saint-Kitts-et-Nevis;17;0;17;0.00;100.00;0.00
2020-08-16;Comores;405;7;379;1.73;93.58;4.69
2020-08-16;Cambodge;273;0;238;0.00;87.18;12.82
2020-08-16;Kirghizistan;41856;1495;34276;3.57;81.89;14.54
2020-08-16;Kenya;30120;474;16656;1.57;55.30;43.13
2020-08-16;Japon;56074;1103;40560;1.97;72.33;25.70
2020-08-16;Jordanie;1378;11;1236;0.80;89.70;9.51
2020-08-16;Jamaïque;1113;14;764;1.26;68.64;30.10
2020-08-16;Italie;253915;35396;203786;13.94;80.26;5.80
2020-08-16;Islande;2011;10;1880;0.50;93.49;6.02
2020-08-16;Iran;343203;19639;297486;5.72;86.68;7.60
2020-08-16;Iraq;176931;5860;125374;3.31;70.86;25.83
2020-08-16;Inde;2647663;50921;1919842;1.92;72.51;25.57
2020-08-16;Israël;92680;685;68510;0.74;73.92;25.34
2020-08-16;Irlande;27257;1774;23364;6.51;85.72;7.77
2020-08-16;Indonésie;139549;6150;93103;4.41;66.72;28.88
2020-08-16;Hongrie;4916;608;3623;12.37;73.70;13.93
2020-08-16;Haïti;7879;196;5235;2.49;66.44;31.07
2020-08-16;Croatie;6571;166;5220;2.53;79.44;18.03
2020-08-16;Honduras;50502;1575;7339;3.12;14.53;82.35
2020-08-16;Hong-Kong;4480;69;3549;1.54;79.22;19.24
2020-08-16;Guyana;709;23;349;3.24;49.22;47.53
2020-08-16;Guinée-Bissau;2117;33;1015;1.56;47.95;50.50
2020-08-16;Guatemala;62562;2379;50692;3.80;81.03;15.17
2020-08-16;Grèce;7075;228;1347;3.22;19.04;77.74
2020-08-16;Guinée Équatoriale;4821;83;2182;1.72;45.26;53.02
2020-08-16;Guadeloupe;446;14;289;3.14;64.80;32.06
2020-08-16;Guinée;8482;51;7364;0.60;86.82;12.58
2020-08-16;Gambie;1872;63;401;3.37;21.42;75.21
2020-08-16;Gibraltar;215;0;190;0.00;88.37;11.63
2020-08-16;Ghana;42532;231;40362;0.54;94.90;4.56
2020-08-16;Guyane Française;8588;53;7893;0.62;91.91;7.48
2020-08-16;Géorgie;1336;17;1088;1.27;81.44;17.29
2020-08-16;Grenade;24;0;23;0.00;95.83;4.17
2020-08-16;Royaume-Uni;320128;46791;1296;14.62;0.40;84.98
2020-08-16;Gabon;8225;51;6277;0.62;76.32;23.06
2020-08-16;France;258280;30410;83848;11.77;32.46;55.76
2020-08-16;Îles Féroé;372;0;225;0.00;60.48;39.52
2020-08-16;Fidji;28;1;20;3.57;71.43;25.00
2020-08-16;Finlande;7731;333;7050;4.31;91.19;4.50
2020-08-16;Éthiopie;29876;528;12359;1.77;41.37;56.87
2020-08-16;Espagne;342813;28617;150376;8.35;43.87;47.79
2020-08-16;Érythrée;285;0;248;0.00;87.02;12.98
2020-08-16;Sahara Occidental;10;1;8;10.00;80.00;10.00
2020-08-16;Égypte;96475;5160;59743;5.35;61.93;32.73
2020-08-16;Estonie;2190;63;1976;2.88;90.23;6.89
2020-08-16;Équateur;101542;6070;87022;5.98;85.70;8.32
2020-08-16;Algérie;38583;1370;27017;3.55;70.02;26.43
2020-08-16;République Dominicaine;86309;1453;52905;1.68;61.30;37.02
2020-08-16;Dominique;18;0;18;0.00;100.00;0.00
2020-08-16;Danemark;15631;621;13354;3.97;85.43;10.59
2020-08-16;Djibouti;5369;59;5202;1.10;96.89;2.01
2020-08-16;Allemagne;225007;9235;201187;4.10;89.41;6.48
2020-08-16;République Tchèque;20012;397;13799;1.98;68.95;29.06
2020-08-16;Chypre;1339;20;870;1.49;64.97;33.53
2020-08-16;Cap-vert;3179;35;2317;1.10;72.88;26.01
2020-08-16;Cuba;3316;88;2620;2.65;79.01;18.34
2020-08-16;Costa Rica;28465;294;9062;1.03;31.84;67.13
2020-08-16;Colombie;468332;15097;287436;3.22;61.37;35.40
2020-08-16;Chine;84849;4634;79605;5.46;93.82;0.72
2020-08-16;Cameroun;18469;401;16540;2.17;89.56;8.27
2020-08-16;Chili;385946;10452;358828;2.71;92.97;4.32
2020-08-16;Côte d'Ivoire;17026;110;13947;0.65;81.92;17.44
2020-08-16;Suisse;38124;1991;33300;5.22;87.35;7.43
2020-08-16;Congo (Brazzaville);3831;76;1625;1.98;42.42;55.60
2020-08-16;République Centrafricaine;4652;61;1728;1.31;37.15;61.54
2020-08-16;Rép. Dém. du Congo;9676;240;8705;2.48;89.96;7.55
2020-08-16;Canada;124004;9074;110202;7.32;88.87;3.81
2020-08-16;Belize;452;3;35;0.66;7.74;91.59
2020-08-16;Bélarus;69516;610;67072;0.88;96.48;2.64
2020-08-16;Botswana;1214;3;120;0.25;9.88;89.87
2020-08-16;Bhoutan;138;0;102;0.00;73.91;26.09
2020-08-16;Bahamas;1315;18;189;1.37;14.37;84.26
2020-08-16;Brésil;3340197;107852;2655017;3.23;79.49;17.28
2020-08-16;Bolivie;100344;4058;36491;4.04;36.37;59.59
2020-08-16;Brunéi Darussalam;142;3;138;2.11;97.18;0.70
2020-08-16;Saint Barthélemy;13;0;9;0.00;69.23;30.77
2020-08-16;Bénin;2063;39;1690;1.89;81.92;16.19
2020-08-16;Burundi;413;1;315;0.24;76.27;23.49
2020-08-16;Bahreïn;46835;170;43128;0.36;92.08;7.55
2020-08-16;Bulgarie;14365;498;9186;3.47;63.95;32.59
2020-08-16;Burkina Faso;1267;55;1013;4.34;79.95;15.71
2020-08-16;Belgique;78323;9939;17994;12.69;22.97;64.34
2020-08-16;Bangladesh;276549;3657;158950;1.32;57.48;41.20
2020-08-16;Barbade;151;7;122;4.64;80.79;14.57
2020-08-16;Bosnie-Herzégovine;15801;471;9619;2.98;60.88;36.14
2020-08-16;Azerbaïdjan;34219;506;31875;1.48;93.15;5.37
2020-08-16;Australie;23558;421;14083;1.79;59.78;38.43
2020-08-16;Autriche;23370;728;20681;3.12;88.49;8.39
2020-08-16;Argentine;294569;5703;211702;1.94;71.87;26.20
2020-08-16;Angola;1906;88;628;4.62;32.95;62.43
2020-08-16;Arménie;41663;818;34584;1.96;83.01;15.03
2020-08-16;Albanie;7380;228;3794;3.09;51.41;45.50
2020-08-16;Antigua-et-Barbuda;93;3;88;3.23;94.62;2.15
2020-08-16;Afghanistan;37596;1375;27166;3.66;72.26;24.09
2020-08-16;Émirats Arabes Unis;64312;364;57694;0.57;89.71;9.72
2020-08-16;Andorre;989;53;863;5.36;87.26;7.38
2020-08-15;Andorre;989;53;863;5.36;87.26;7.38
2020-08-15;Émirats Arabes Unis;64102;361;57571;0.56;89.81;9.63
2020-08-15;Afghanistan;37551;1370;27166;3.65;72.34;24.01
2020-08-15;Antigua-et-Barbuda;93;3;83;3.23;89.25;7.53
2020-08-15;Albanie;7260;225;3746;3.10;51.60;45.30
2020-08-15;Arménie;41495;817;34484;1.97;83.10;14.93
2020-08-15;Angola;1879;86;628;4.58;33.42;62.00
